address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Avenida de Los Insurgentes Sur 1390 Colonia Actipan, Deleg. Benito Juárez, Ciudad de México 03230 México",,www.tripadvisor.com.mx,2022-09-08 17:52:13,"Bebidas, Almuerzo, Cena","Acepta Visa, Reservaciones, Servicio de valet, Acceso para silla de ruedas, Bar completo, Vino y cerveza, Acepta American Express, Acepta Mastercard, Wi-Fi gratis, Servicio de mesa, Comida para llevar, Asiento, Estacionamiento disponible, Estacionamiento para clientes, Sillitas altas disponibles, Sirve alcohol, Estilo familiar",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8390750-Reviews-Los_Arcos-Mexico_City_Central_Mexico_and_Gulf_Coast.html,74,"Mariscos, Internacional, Saludable, Mexicana, Latina, Española",4.0,Los Arcos
"Leibnitz 0, Ciudad de México 11590 México",,www.tripadvisor.com.mx,2022-09-08 17:52:14,"Almuerzo, Cena, Brunch","Comida para llevar, Asiento, Televisión, Acceso para silla de ruedas, Sirve alcohol, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4930289-Reviews-El_Fogoncito-Mexico_City_Central_Mexico_and_Gulf_Coast.html,166,"Mexicana, Latina",4.0,El Fogoncito
"Calle Cordoba 132 esquina con Guanajuato, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:52:14,"Japonesa, Sushi, Comida de calle, Asiática","Almuerzo, Cena, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19043064-Reviews-Gin_Chan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,18,$50 - $200,5.0,Gin Chan
"Eje Vial Eje 1 Poniente (Avenida Cuauhtemoc) 462, Ciudad de México 03000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:14,"Japonesa, Sushi, Asiática",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13449869-Reviews-Moshi_Moshi_Delta-Mexico_City_Central_Mexico_and_Gulf_Coast.html,27,$70 - $160,4.5,Moshi Moshi Delta
"Moliere No. 337, Col. Polanco, Miguel Hidalgo, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:14,Apto para vegetarianos,"Desayuno, Brunch, Almuerzo, Cena, Abierto hasta tarde",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1237497-Reviews-Los_Bisquets_Bisquets_Obregon-Mexico_City_Central_Mexico_and_Gulf_Coast.html,195,Mexicana,4.0,Los Bisquets Bisquets Obregon
"Avenida Isabel La Catolica, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:15,"Almuerzo, Cena","Asiento, Televisión, Acceso para silla de ruedas, Sirve alcohol, Bar completo, Servicio de mesa, Comida para llevar",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3490817-Reviews-El_Cuatro_20-Mexico_City_Central_Mexico_and_Gulf_Coast.html,74,"Mexicana, Latina, Bar, Pub",4.0,El Cuatro 20
"Calle Alfonso Reyes 157, Ciudad de México 06100 México",,www.tripadvisor.com.mx,2022-09-08 17:52:15,"Apto para vegetarianos, Opciones veganas","Desayuno, Almuerzo, Brunch",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d5588541-Reviews-Queseriademi-Mexico_City_Central_Mexico_and_Gulf_Coast.html,64,"Café, Delicatessen",4.0,Queseriademi
"Tamaulipas 134-B, Col. Hipódromo Condesa, Cuauhtémoc, Ciudad de México 06100 México",,www.tripadvisor.com.mx,2022-09-08 17:52:15,"Mexicana, Mariscos, Latina, Mediterránea","Almuerzo, Cena, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20287604-Reviews-Nerea-Mexico_City_Central_Mexico_and_Gulf_Coast.html,19,$500 - $800,5.0,Nerea
"Felix Cuevas 306, Ciudad de México 03200 México",,www.tripadvisor.com.mx,2022-09-08 17:52:16,"Almuerzo, Cena","Comida para llevar, Asiento, Sillitas altas disponibles, Servicio de mesa, Entrega a domicilio",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3855689-Reviews-El_Regreso_del_Valle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,58,"Mexicana, Latina, Española",4.5,El Regreso del Valle
"Av. Ejercito Nacional 1014 Chapultepec Morales, Ciudad de México 11570 México",,www.tripadvisor.com.mx,2022-09-08 17:52:16,"Almuerzo, Cena, Desayuno, Bebidas","Asiento, Acceso para silla de ruedas, Servicio de mesa, Entrega a domicilio, Comida para llevar, Reservaciones, Asientos al aire libre, Televisión, Sillitas altas disponibles, Acepta American Express, Acepta Mastercard, Acepta Visa, Wi-Fi gratis, Acepta tarjetas de crédito",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2428814-Reviews-Caldos_Riesi-Mexico_City_Central_Mexico_and_Gulf_Coast.html,41,"Mexicana, Café, Saludable, Sopas, De Campania, Del sur italiano",4.5,Caldos Riesi
