,address,domain,extracted_date,food_category,food_types,link,opinions,min_price,max_price,rating,restaurant_name
5861,"Blvd. Miguel de Cervantes Saavedra Granada, Miguel Hidalgo, Ciudad de M̩xico 11500 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20346673-Reviews-Tacos_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Tacos Polanco
5862,"Av. Coyoac��n 515, Colonia Del Valle, Benito Juarez, Ciudad de M̩xico 03100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23792989-Reviews-Do_Brasil_Del_Valle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Do Brasil Del Valle
5863,"Jos̩ Mar�_a Tornel 60 San Miguel Chapultepec II Secc, Miguel Hidalgo, Ciudad de M̩xico 11850 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19883811-Reviews-Santo_Pecado_Vegano-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Santo Pecado Vegano
5864,"Bruselas 7, Colonia Juarez, Cuauhtemoc, Ciudad de M̩xico 06600 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Francesa, Mexicana, Belga, Europea, Espa̱ola, Delicatessen",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12476901-Reviews-La_Vitrina_Baguettes_Juarez-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,60.0,250.0,,La Vitrina Baguettes Juarez
5865,"Camino al Desierto de los Leones 5469, Ciudad de M̩xico 01700 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,Internacional,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1976654-Reviews-Beriguell-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,502.0,803.0,,Beriguell
5866,"Eugenio Sue 45, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Mexicana, Internacional, Contempor��nea","Desayuno, Almuerzo, Cena, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23638835-Reviews-Restaurante_45-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,10043.0,16068.0,,Restaurante 45
5867,"Av Ej̩rcito Nacional 980, Ciudad de M̩xico 11510 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d17157784-Reviews-Mamma_Bella-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Mamma Bella
5868,"Calle Miguel Laurent no. 75 Col. Del Valle, Locales 105 and 107, Dentro del Mercado Tlacoquem̩catl, Ciudad de M̩xico 03200 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Mexicana, Estadounidense, Comida r��pida, Argentina, Sudamericana",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16644037-Reviews-La_Burgueria_Gourmet_Del_Valle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,50.0,300.0,,La Burgueria Gourmet Del Valle
5869,"Calle Pasadena 20 Col del Valle Centro, Ciudad de M̩xico 03100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Mexicana, Europea",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13197763-Reviews-Maria_Lupulo_Arbol-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,65.0,200.0,,Mar�_a L̼pulo + ́rbol
5870,"Avenida Del Taller Retorno 28 #1, Ciudad de M̩xico 15900 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,Mexicana,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23279418-Reviews-Las_Tortugas_De_Balbuena-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,40.0,115.0,,Las Tortugas De Balbuena
5871,"Avenida Miguel de Cervantes Saavedra 397 Col. Irrigaci�_n, Miguel Hidalgo, Ciudad de M̩xico 11500 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20347518-Reviews-Tacos_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Tacos Polanco
5872,"Tizim�_n 408, Ciudad de M̩xico 14100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Mexicana, Contempor��nea, Gastropub","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10317308-Reviews-Cochinones_Pork_Stuff-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,50.0,150.0,,Cochinones Pork and Stuff
5873,"Calle Agrarismo # 86, Ciudad de M̩xico 11800 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Mexicana, Mariscos",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12529124-Reviews-Playitas-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,100.0,200.0,,Playitas
5874,"Boston Esquina Carolina Col. Nochebuena, Ciudad de M̩xico 03700 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16644116-Reviews-Cortaditto_Cafe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Cortaditto Caf̩
5875,"Avenida Division Del Norte 820 Mercadito del Valle, Primer piso, Local 8, Ciudad de M̩xico 03100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Comida r��pida, Internacional, Contempor��nea, Fusi�_n",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13085408-Reviews-Baconeria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,100.0,500.0,,Baconer�_a
